1 -7.56031 -7.56031 0
2 -7.54401 -7.55216 0.00576148
3 -7.57083 -7.55838 0.00636922
4 -7.56083 -7.55899 0.00480611
5 -7.5379 -7.55478 0.00538647
6 -7.54482 -7.55312 0.00473722
7 -7.54664 -7.55219 0.00414987
8 -7.5402 -7.55069 0.0038926
9 -7.5419 -7.54972 0.00358045
10 -7.54283 -7.54903 0.00328787
11 -7.53291 -7.54756 0.00329925
12 -7.56104 -7.54869 0.00320991
13 -7.54232 -7.5482 0.00300008
14 -7.55636 -7.54878 0.0028419
15 -7.55586 -7.54925 0.00269135
16 -7.56351 -7.55014 0.0026666
17 -7.56316 -7.55091 0.0026174
18 -7.56888 -7.55191 0.00265557
19 -7.52502 -7.55049 0.00286807
20 -7.54846 -7.55039 0.00272646
21 -7.57273 -7.55145 0.00279641
22 -7.51886 -7.54997 0.0030364
23 -7.55863 -7.55035 0.0029276
24 -7.55197 -7.55042 0.00280639
25 -7.53487 -7.54979 0.00276214
26 -7.56767 -7.55048 0.00274009
27 -7.55801 -7.55076 0.00265277
28 -7.54728 -7.55064 0.00256094
29 -7.54938 -7.55059 0.002473
30 -7.53659 -7.55013 0.0024342
31 -7.54853 -7.55008 0.00235622
32 -7.5459 -7.54994 0.0022862
33 -7.56715 -7.55047 0.00227558
34 -7.54012 -7.55016 0.00222891
35 -7.53271 -7.54966 0.00222029
36 -7.53408 -7.54923 0.00220039
37 -7.54596 -7.54914 0.00214269
38 -7.53264 -7.54871 0.00212984
39 -7.53562 -7.54837 0.00210152
40 -7.55961 -7.54865 0.00206769
41 -7.53399 -7.5483 0.00204794
42 -7.5582 -7.54853 0.00201272
43 -7.55292 -7.54863 0.0019685
44 -7.53087 -7.54823 0.00196472
45 -7.55515 -7.54838 0.00192706
46 -7.55125 -7.54845 0.00188617
47 -7.52993 -7.54805 0.00188673
48 -7.53174 -7.54771 0.00187777
49 -7.55361 -7.54783 0.0018433
50 -7.56108 -7.5481 0.00182538
51 -7.52051 -7.54756 0.001868
52 -7.54514 -7.54751 0.00183265
53 -7.55131 -7.54758 0.00179947
54 -7.55468 -7.54771 0.00177095
55 -7.54264 -7.54762 0.00174115
56 -7.5406 -7.5475 0.00171456
57 -7.55681 -7.54766 0.00169225
58 -7.55295 -7.54775 0.00166553
59 -7.53386 -7.54751 0.00165385
60 -7.55183 -7.54759 0.00162785
61 -7.53654 -7.54741 0.0016112
62 -7.5523 -7.54748 0.00158715
63 -7.55586 -7.54762 0.00156751
64 -7.5419 -7.54753 0.00154557
65 -7.56514 -7.5478 0.00154535
66 -7.55444 -7.5479 0.0015252
67 -7.54627 -7.54788 0.00150263
68 -7.54413 -7.54782 0.00148154
69 -7.56414 -7.54806 0.00147882
70 -7.56455 -7.54829 0.00147634
71 -7.55672 -7.54841 0.00146031
72 -7.53952 -7.54829 0.00144524
73 -7.55608 -7.54839 0.00142938
74 -7.5378 -7.54825 0.00141722
75 -7.51566 -7.54782 0.00146342
76 -7.56365 -7.54802 0.00145892
77 -7.55969 -7.54818 0.00144782
78 -7.54714 -7.54816 0.00142932
79 -7.55087 -7.5482 0.00141163
80 -7.52421 -7.5479 0.00142547
81 -7.54349 -7.54784 0.00140892
82 -7.5264 -7.54758 0.00141579
83 -7.5449 -7.54755 0.00139911
84 -7.54755 -7.54755 0.00138245
85 -7.55196 -7.5476 0.00136716
86 -7.53595 -7.54747 0.00135796
87 -7.55142 -7.54751 0.00134311
88 -7.53866 -7.54741 0.00133161
89 -7.53466 -7.54727 0.00132434
90 -7.55597 -7.54736 0.00131315
91 -7.5274 -7.54714 0.00131692
92 -7.54813 -7.54716 0.00130265
93 -7.52998 -7.54697 0.00130166
94 -7.55571 -7.54706 0.00129113
95 -7.55247 -7.54712 0.00127879
96 -7.56333 -7.54729 0.00127657
97 -7.54039 -7.54722 0.00126539
98 -7.5451 -7.5472 0.00125266
99 -7.5275 -7.547 0.00125571
100 -7.52557 -7.54678 0.0012613
101 -7.56583 -7.54697 0.00126283
102 -7.55054 -7.54701 0.00125093
103 -7.53978 -7.54694 0.00124075
104 -7.52804 -7.54676 0.00124206
105 -7.548 -7.54677 0.00123028
106 -7.54731 -7.54677 0.00121869
107 -7.54563 -7.54676 0.00120735
108 -7.52816 -7.54659 0.00120839
109 -7.5307 -7.54644 0.00120606
110 -7.53423 -7.54633 0.0012002
111 -7.52926 -7.54618 0.0011992
112 -7.52315 -7.54597 0.001206
113 -7.52457 -7.54578 0.00121011
114 -7.56018 -7.54591 0.00120606
115 -7.53045 -7.54578 0.00120305
116 -7.53607 -7.54569 0.00119558
117 -7.54934 -7.54572 0.00118577
118 -7.56951 -7.54592 0.00119274
119 -7.55621 -7.54601 0.00118584
120 -7.55857 -7.54612 0.00118057
121 -7.54835 -7.54613 0.00117095
122 -7.55494 -7.54621 0.00116358
123 -7.52634 -7.54604 0.00116528
124 -7.54034 -7.546 0.00115679
125 -7.5521 -7.54605 0.00114857
126 -7.55024 -7.54608 0.00113993
127 -7.5524 -7.54613 0.00113204
128 -7.55149 -7.54617 0.00112397
129 -7.56137 -7.54629 0.00112142
130 -7.56256 -7.54642 0.00111976
131 -7.55395 -7.54647 0.00111268
132 -7.53798 -7.54641 0.00110611
133 -7.56124 -7.54652 0.00110341
134 -7.55081 -7.54655 0.00109564
135 -7.57342 -7.54675 0.00110544
136 -7.54002 -7.5467 0.00109842
137 -7.54779 -7.54671 0.00109044
138 -7.54139 -7.54667 0.00108321
139 -7.5594 -7.54676 0.00107929
140 -7.55325 -7.54681 0.00107257
