1 2  0
1 3  0
1 4  0
1 5  0
1 6  0
1 7  0
1 8  0
1 9  0
1 10  0
1 11  0
1 12  0
1 13  0
1 14  0
1 15  0
1 16  0
1 17  0
1 18  0
1 19  0
1 20  0
1 21  0
1 22  0
1 23  0
1 24  0
1 25  0
1 26  0
1 27  0
1 28  0
1 29  0
1 30  0
1 31  0
1 32  0
1 33  0
1 34  0
1 35  0
1 36  0
1 37  0.0179286
1 38  0.159684
1 39  0.536898
1 40  1.17324
1 41  1.86637
1 42  2.25848
1 43  2.31378
1 44  2.40434
1 45  2.33654
1 46  2.12225
1 47  1.99409
1 48  1.73114
1 49  1.6373
1 50  1.46728
1 51  1.35803
1 52  1.23527
1 53  1.13591
1 54  1.12042
1 55  0.985794
1 56  0.836283
1 57  0.790401
1 58  0.816766
1 59  0.710325
1 60  0.663539
1 61  0.633098
1 62  0.632473
1 63  0.646618
1 64  0.651438
1 65  0.76013
1 66  0.725985
1 67  0.672921
1 68  0.715779
1 69  0.709774
1 70  0.710675
1 71  0.807184
1 72  0.841484
1 73  0.93478
1 74  0.991804
1 75  1.03742
1 76  1.00336
1 77  1.12418
1 78  1.10079
1 79  1.15635
1 80  1.14484
1 81  1.23553
1 82  1.18825
1 83  1.21753
1 84  1.26787
1 85  1.25459
1 86  1.1778
1 87  1.1501
1 88  1.1324
1 89  1.0651
1 90  1.02934
1 91  1.02684
1 92  0.972482
1 93  0.96867
1 94  0.985615
1 95  1.0063
1 96  1.00808
1 97  0.988482
1 98  0.943568
1 99  0.908167
1 100  0.894872
1 101  0.88938
2 2  0
2 3  0
2 4  0
2 5  0
2 6  0
2 7  0
2 8  0
2 9  0
2 10  0
2 11  0
2 12  0
2 13  0
2 14  0
2 15  0
2 16  0
2 17  0
2 18  0
2 19  0
2 20  0
2 21  0
2 22  0
2 23  0
2 24  0
2 25  0
2 26  0
2 27  0
2 28  0
2 29  0
2 30  0
2 31  0
2 32  0
2 33  0
2 34  0
2 35  0
2 36  0.0018341
2 37  0.0161964
2 38  0.103889
2 39  0.560107
2 40  1.27833
2 41  1.91716
2 42  2.51243
2 43  2.58897
2 44  2.64099
2 45  2.28474
2 46  2.16469
2 47  1.94843
2 48  1.71161
2 49  1.51084
2 50  1.40352
2 51  1.19886
2 52  1.06513
2 53  1.0061
2 54  0.970715
2 55  0.871003
2 56  0.829962
2 57  0.798729
2 58  0.754362
2 59  0.706264
2 60  0.662996
2 61  0.610805
2 62  0.617025
2 63  0.659057
2 64  0.655462
2 65  0.678808
2 66  0.735431
2 67  0.759199
2 68  0.774132
2 69  0.834546
2 70  0.807823
2 71  0.856269
2 72  0.932342
2 73  0.967918
2 74  0.986384
2 75  1.0377
2 76  1.05424
2 77  1.10203
2 78  1.08732
2 79  1.16362
2 80  1.24632
2 81  1.20736
2 82  1.14688
2 83  1.21544
2 84  1.24378
2 85  1.2407
2 86  1.15267
2 87  1.09367
2 88  1.0907
2 89  1.05033
2 90  1.04754
2 91  1.02738
2 92  0.997232
2 93  0.940194
2 94  0.929327
2 95  0.969152
2 96  0.931992
2 97  0.931941
2 98  0.881511
2 99  0.935634
2 100  0.92408
2 101  0.874847
3 2  0
3 3  0
3 4  0
3 5  0
3 6  0
3 7  0
3 8  0
3 9  0
3 10  0
3 11  0
3 12  0
3 13  0
3 14  0
3 15  0
3 16  0
3 17  0
3 18  0
3 19  0
3 20  0
3 21  0
3 22  0
3 23  0
3 24  0
3 25  0
3 26  0
3 27  0
3 28  0
3 29  0
3 30  0
3 31  0
3 32  0
3 33  0
3 34  0
3 35  0
3 36  0.0034848
3 37  0.017842
3 38  0.161159
3 39  0.514389
3 40  1.11389
3 41  1.94508
3 42  2.52128
3 43  2.84312
3 44  2.85661
3 45  2.50677
3 46  2.14766
3 47  1.75176
3 48  1.65355
3 49  1.51737
3 50  1.30426
3 51  1.19765
3 52  1.10943
3 53  0.913008
3 54  0.797174
3 55  0.80884
3 56  0.770905
3 57  0.734516
3 58  0.682314
3 59  0.677508
3 60  0.662263
3 61  0.666274
3 62  0.734584
3 63  0.693487
3 64  0.666863
3 65  0.698245
3 66  0.74897
3 67  0.71905
3 68  0.79921
3 69  0.865787
3 70  0.896759
3 71  0.842958
3 72  0.888593
3 73  0.949491
3 74  0.979261
3 75  1.0749
3 76  1.08974
3 77  1.12108
3 78  1.11787
3 79  1.1721
3 80  1.19359
3 81  1.23349
3 82  1.215
3 83  1.18472
3 84  1.24382
3 85  1.24895
3 86  1.21767
3 87  1.12601
3 88  1.09013
3 89  1.01372
3 90  0.939024
3 91  0.978759
3 92  0.973228
3 93  0.980912
3 94  0.968417
3 95  0.945204
3 96  0.94243
3 97  0.89479
3 98  0.922855
3 99  0.904848
3 100  0.898158
3 101  0.917264
4 2  0
4 3  0
4 4  0
4 5  0
4 6  0
4 7  0
4 8  0
4 9  0
4 10  0
4 11  0
4 12  0
4 13  0
4 14  0
4 15  0
4 16  0
4 17  0
4 18  0
4 19  0
4 20  0
4 21  0
4 22  0
4 23  0
4 24  0
4 25  0
4 26  0
4 27  0
4 28  0
4 29  0
4 30  0
4 31  0
4 32  0
4 33  0
4 34  0
4 35  0
4 36  0
4 37  0.0182751
4 38  0.178201
4 39  0.533017
4 40  1.17346
4 41  1.77641
4 42  2.31412
4 43  2.49929
4 44  2.6156
4 45  2.41557
4 46  2.15152
4 47  1.93946
4 48  1.70171
4 49  1.51297
4 50  1.45298
4 51  1.20817
4 52  1.10134
4 53  1.0345
4 54  0.967785
4 55  0.926034
4 56  0.956382
4 57  0.841538
4 58  0.787188
4 59  0.7026
4 60  0.628548
4 61  0.610929
4 62  0.629938
4 63  0.702174
4 64  0.70456
4 65  0.723692
4 66  0.702791
4 67  0.706888
4 68  0.699932
4 69  0.834355
4 70  0.82078
4 71  0.834122
4 72  0.876448
4 73  0.898075
4 74  0.96491
4 75  1.01042
4 76  1.04472
4 77  1.06225
4 78  1.17965
4 79  1.22454
4 80  1.16973
4 81  1.19674
4 82  1.22052
4 83  1.1722
4 84  1.19629
4 85  1.15866
4 86  1.16314
4 87  1.16787
4 88  1.17256
4 89  1.08089
4 90  1.07508
4 91  1.07077
4 92  0.989009
4 93  0.950664
4 94  0.979631
4 95  0.950673
4 96  0.928251
4 97  0.900679
4 98  0.941622
4 99  0.935002
4 100  0.931921
4 101  0.923968
5 2  0
5 3  0
5 4  0
5 5  0
5 6  0
5 7  0
5 8  0
5 9  0
5 10  0
5 11  0
5 12  0
5 13  0
5 14  0
5 15  0
5 16  0
5 17  0
5 18  0
5 19  0
5 20  0
5 21  0
5 22  0
5 23  0
5 24  0
5 25  0
5 26  0
5 27  0
5 28  0
5 29  0
5 30  0
5 31  0
5 32  0
5 33  0
5 34  0
5 35  0
5 36  0
5 37  0.0288417
5 38  0.176972
5 39  0.540547
5 40  1.26949
5 41  1.88211
5 42  2.22867
5 43  2.42754
5 44  2.40355
5 45  2.47279
5 46  2.25261
5 47  2.0494
5 48  1.80727
5 49  1.65075
5 50  1.41799
5 51  1.21405
5 52  1.13344
5 53  1.06808
5 54  1.01028
5 55  0.857312
5 56  0.804568
5 57  0.72548
5 58  0.720441
5 59  0.66275
5 60  0.678211
5 61  0.652646
5 62  0.673687
5 63  0.69721
5 64  0.705426
5 65  0.665841
5 66  0.665113
5 67  0.696253
5 68  0.744092
5 69  0.793075
5 70  0.808939
5 71  0.847365
5 72  0.852268
5 73  0.906125
5 74  0.990433
5 75  1.01398
5 76  1.00332
5 77  1.10814
5 78  1.15904
5 79  1.18393
5 80  1.17382
5 81  1.2519
5 82  1.21798
5 83  1.21191
5 84  1.25011
5 85  1.23766
5 86  1.15621
5 87  1.12525
5 88  1.11752
5 89  1.08599
5 90  1.0604
5 91  1.04469
5 92  1.0283
5 93  0.966049
5 94  0.960316
5 95  0.944067
5 96  0.981839
5 97  0.956657
5 98  0.943872
5 99  0.892883
5 100  0.922032
5 101  0.884583
6 2  0
6 3  0
6 4  0
6 5  0
6 6  0
6 7  0
6 8  0
6 9  0
6 10  0
6 11  0
6 12  0
6 13  0
6 14  0
6 15  0
6 16  0
6 17  0
6 18  0
6 19  0
6 20  0
6 21  0
6 22  0
6 23  0
6 24  0
6 25  0
6 26  0
6 27  0
6 28  0
6 29  0
6 30  0
6 31  0
6 32  0
6 33  0
6 34  0
6 35  0
6 36  0.00220093
6 37  0.0575969
6 38  0.187295
6 39  0.540857
6 40  1.24128
6 41  1.99846
6 42  2.43756
6 43  2.62098
6 44  2.56611
6 45  2.39919
6 46  2.15742
6 47  1.92138
6 48  1.81732
6 49  1.46463
6 50  1.30388
6 51  1.18211
6 52  1.09385
6 53  0.922638
6 54  0.87238
6 55  0.80106
6 56  0.743269
6 57  0.796
6 58  0.761371
6 59  0.718315
6 60  0.732594
6 61  0.695597
6 62  0.668617
6 63  0.671524
6 64  0.698105
6 65  0.717682
6 66  0.748393
6 67  0.748997
6 68  0.794052
6 69  0.793171
6 70  0.841252
6 71  0.900585
6 72  0.974861
6 73  0.985683
6 74  0.985096
6 75  1.03881
6 76  1.04171
6 77  1.01628
6 78  1.10521
6 79  1.20423
6 80  1.20268
6 81  1.14505
6 82  1.19337
6 83  1.15905
6 84  1.22209
6 85  1.17902
6 86  1.18216
6 87  1.07774
6 88  1.11066
6 89  1.04667
6 90  1.03217
6 91  1.02667
6 92  1.00753
6 93  0.988696
6 94  0.987082
6 95  0.961111
6 96  0.939729
6 97  0.934898
6 98  0.921132
6 99  0.906226
6 100  0.893815
6 101  0.907925
7 2  0
7 3  0
7 4  0
7 5  0
7 6  0
7 7  0
7 8  0
7 9  0
7 10  0
7 11  0
7 12  0
7 13  0
7 14  0
7 15  0
7 16  0
7 17  0
7 18  0
7 19  0
7 20  0
7 21  0
7 22  0
7 23  0
7 24  0
7 25  0
7 26  0
7 27  0
7 28  0
7 29  0
7 30  0
7 31  0
7 32  0
7 33  0
7 34  0
7 35  0
7 36  0.00504379
7 37  0.0270229
7 38  0.152638
7 39  0.547765
7 40  1.15932
7 41  1.91821
7 42  2.34925
7 43  2.39864
7 44  2.48991
7 45  2.23069
7 46  2.11613
7 47  1.99915
7 48  1.92474
7 49  1.59318
7 50  1.3727
7 51  1.21071
7 52  1.04176
7 53  1.05977
7 54  0.988893
7 55  0.958641
7 56  0.82456
7 57  0.74614
7 58  0.717568
7 59  0.742746
7 60  0.750233
7 61  0.773296
7 62  0.725727
7 63  0.729707
7 64  0.664627
7 65  0.707531
7 66  0.726694
7 67  0.770242
7 68  0.740537
7 69  0.755126
7 70  0.767088
7 71  0.80906
7 72  0.807201
7 73  0.928865
7 74  0.988087
7 75  1.03495
7 76  1.05867
7 77  1.07148
7 78  1.14712
7 79  1.12016
7 80  1.13685
7 81  1.23493
7 82  1.17216
7 83  1.1862
7 84  1.18622
7 85  1.1919
7 86  1.16701
7 87  1.13475
7 88  1.10725
7 89  1.13712
7 90  1.10373
7 91  1.05776
7 92  1.05093
7 93  0.976493
7 94  0.974962
7 95  0.927773
7 96  0.859592
7 97  0.878225
7 98  0.887571
7 99  0.941525
7 100  0.937277
7 101  0.914188
8 2  0
8 3  0
8 4  0
8 5  0
8 6  0
8 7  0
8 8  0
8 9  0
8 10  0
8 11  0
8 12  0
8 13  0
8 14  0
8 15  0
8 16  0
8 17  0
8 18  0
8 19  0
8 20  0
8 21  0
8 22  0
8 23  0
8 24  0
8 25  0
8 26  0
8 27  0
8 28  0
8 29  0
8 30  0
8 31  0
8 32  0
8 33  0
8 34  0
8 35  0
8 36  0.00247604
8 37  0.0164562
8 38  0.171236
8 39  0.56849
8 40  1.23149
8 41  2.04106
8 42  2.43177
8 43  2.45872
8 44  2.47516
8 45  2.32195
8 46  2.11889
8 47  2.01143
8 48  1.69954
8 49  1.51272
8 50  1.39544
8 51  1.25967
8 52  1.21661
8 53  1.04483
8 54  0.937528
8 55  0.856282
8 56  0.791081
8 57  0.754786
8 58  0.734666
8 59  0.699364
8 60  0.674894
8 61  0.708547
8 62  0.690179
8 63  0.726388
8 64  0.698077
8 65  0.692966
8 66  0.688412
8 67  0.70671
8 68  0.81955
8 69  0.861379
8 70  0.82641
8 71  0.879952
8 72  0.880357
8 73  0.904566
8 74  0.877688
8 75  0.975103
8 76  0.999588
8 77  1.04376
8 78  1.08633
8 79  1.14897
8 80  1.20138
8 81  1.22816
8 82  1.22947
8 83  1.23776
8 84  1.17128
8 85  1.21642
8 86  1.17459
8 87  1.19943
8 88  1.1791
8 89  1.15125
8 90  1.10808
8 91  1.02299
8 92  0.999284
8 93  0.953584
8 94  0.979861
8 95  0.977381
8 96  0.905283
8 97  0.889727
8 98  0.86932
8 99  0.83207
8 100  0.8712
8 101  0.911211
9 2  0
9 3  0
9 4  0
9 5  0
9 6  0
9 7  0
9 8  0
9 9  0
9 10  0
9 11  0
9 12  0
9 13  0
9 14  0
9 15  0
9 16  0
9 17  0
9 18  0
9 19  0
9 20  0
9 21  0
9 22  0
9 23  0
9 24  0
9 25  0
9 26  0
9 27  0
9 28  0
9 29  0
9 30  0
9 31  0
9 32  0
9 33  0
9 34  0
9 35  0
9 36  0.00119217
9 37  0.0304874
9 38  0.247432
9 39  0.535036
