0 5 1 36 37 32 26 43 41 35 21 46 27 2 24 42 25 8 44 34 6 3 47 28 33 45 7 9 18 49 4 23 48 22 17 29 30 20 31 16 14 38 12 40 11 10 13 39 15 19 
0 18 7 31 36 2 14 48 13 33 5 17 28 26 27 43 1 15 25 35 12 16 24 10 32 39 40 21 23 34 45 19 49 3 29 6 9 38 8 47 37 30 42 46 4 11 22 41 44 20 
0 42 32 48 34 29 35 39 31 9 23 49 15 28 41 25 26 17 16 22 38 40 14 5 30 7 45 8 21 11 10 4 3 46 27 1 36 12 19 33 47 24 20 37 13 43 6 18 44 2 
0 32 4 1 25 14 3 5 36 37 26 43 41 35 21 46 27 2 24 8 31 16 29 20 7 12 28 33 19 17 30 10 11 34 23 48 15 44 39 47 45 18 38 22 13 40 49 42 9 6 
0 32 4 1 25 14 3 5 36 37 26 43 41 35 21 46 27 2 24 8 31 16 29 20 7 12 28 33 19 17 30 10 11 34 23 48 15 44 39 47 45 18 38 22 13 40 49 42 9 6 
0 3 30 40 44 20 47 13 39 24 41 26 10 27 2 46 43 35 31 32 4 1 25 14 7 21 34 15 42 28 18 5 22 36 11 6 37 9 23 16 38 45 33 12 17 49 48 8 19 29 
0 32 4 1 25 14 3 30 7 40 43 46 22 39 16 19 45 44 33 6 37 11 10 27 17 23 41 5 36 26 35 21 2 24 8 31 29 20 12 28 34 48 15 47 18 38 13 49 42 9 
0 32 4 1 25 14 3 5 36 27 10 11 21 31 18 2 48 45 30 40 43 46 22 39 19 44 33 37 17 41 24 8 29 26 15 42 12 35 49 9 23 16 7 6 38 13 28 34 47 20 
0 34 13 26 48 20 29 28 32 36 40 16 18 6 19 38 47 24 41 25 43 1 46 22 39 45 44 33 12 15 7 42 35 31 9 23 49 27 10 11 4 14 3 30 5 21 2 17 8 37 
0 5 1 27 10 11 40 16 18 6 19 38 47 24 41 25 23 32 4 36 15 21 33 7 44 20 14 3 30 43 46 22 39 45 37 17 26 35 2 8 31 29 12 28 34 13 48 49 42 9 
0 23 49 42 9 34 13 26 48 20 29 28 32 36 40 16 18 6 19 38 47 24 41 5 1 27 10 11 25 4 15 21 33 7 44 39 45 14 3 30 2 46 43 35 31 22 12 17 37 8 
0 16 7 6 14 32 4 1 25 3 30 40 43 5 36 46 22 27 10 11 23 38 45 15 21 33 44 34 13 26 48 20 29 28 18 19 47 24 41 39 37 31 17 8 42 35 49 2 12 9 
0 24 5 32 4 1 25 27 10 11 40 16 18 7 6 14 3 30 43 36 46 22 23 38 45 15 21 33 44 34 13 26 48 20 29 28 19 47 41 39 37 31 17 8 42 35 49 2 12 9 
0 24 5 32 4 1 25 27 10 11 40 16 18 7 6 14 3 30 43 36 46 22 23 38 45 15 21 33 44 34 13 26 48 20 29 28 19 47 41 39 37 31 17 8 42 35 49 2 12 9 
0 17 8 42 35 49 2 12 9 24 5 32 4 1 25 27 10 11 40 16 18 7 6 14 3 30 43 36 46 22 23 21 15 45 38 33 44 34 13 26 48 20 29 28 19 47 41 39 37 31 
0 17 8 42 35 49 2 12 9 24 5 32 4 1 25 27 10 11 40 16 18 7 6 14 3 30 43 36 46 22 23 21 15 45 38 33 44 34 13 26 48 20 29 28 19 47 41 39 37 31 
0 24 15 21 33 44 34 13 26 48 20 29 28 19 47 41 39 37 31 17 8 42 35 49 2 5 32 4 1 25 27 10 11 40 16 18 7 6 14 3 30 43 36 46 22 23 38 45 12 9 
0 34 13 26 48 24 5 32 4 1 25 27 10 11 40 16 18 7 6 14 3 30 49 35 42 8 17 31 37 39 41 47 19 28 29 20 44 33 21 15 45 38 23 22 43 36 46 2 12 9 
0 34 13 26 48 24 5 32 4 1 25 27 10 11 40 16 18 6 19 38 7 14 3 30 43 36 46 22 23 45 15 21 33 44 20 29 28 47 41 39 37 31 8 17 42 35 49 2 12 9 
0 17 8 42 35 49 2 12 9 34 13 26 48 24 5 32 4 1 25 27 10 11 40 16 18 7 6 45 19 38 47 20 44 33 21 15 22 46 36 43 30 3 14 23 41 29 28 39 37 31 
0 24 5 32 4 1 25 27 10 11 40 34 13 26 48 7 38 19 6 18 16 14 3 30 43 36 46 22 23 17 8 42 35 49 2 15 21 33 44 20 29 28 47 41 39 37 31 45 12 9 
